💞央视💞,#genre#
重庆卫视,http://59.188.94.126:35455/bptv/10000100000000050000000004796458.m3u8
贵州卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873471.m3u8
广西卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887394.m3u8
云南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887453.m3u8
东南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003873473.m3u8
海南卫视,http://59.188.94.126:35455/bptv/10000100000000050000000004796877.m3u8
三沙卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887452.m3u8
陕西卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887404.m3u8
青海卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887430.m3u8
宁夏卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887433.m3u8
西藏卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887448.m3u8
甘肃卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887450.m3u8
厦门卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887454.m3u8
兵团卫视,http://59.188.94.126:35455/bptv/10000100000000050000000003887456.m3u8
吉林卫视,http://59.188.94.126:35455/bptv/10000100000000050000000004972569.m3u8
内蒙古视,http://59.188.94.126:35455/bptv/10000100000000050000000003887427.m3u8
黑龙江视,http://59.188.94.126:35455/bptv/10000100000000050000000003873470.m3u8
重温经典,http://59.188.94.126:35455/bptv/10000100000000050000000003887494.m3u8
北京测4k超清,http://59.188.94.126:35455/bptv/10000100000000050000000003887500.m3u8
北京体育休闲,http://59.188.94.126:35455/bptv/10000100000000050000000003870779.m3u8
北京淘电影,http://59.188.94.126:35455/bptv/10000100000000050000000003887498.m3u8
北京剧场,http://59.188.94.126:35455/bptv/10000100000000050000000003887497.m3u8
北京动画,http://59.188.94.126:35455/bptv/10000100000000050000000003887496.m3u8

河南卫视,http://101.66.198.163:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://61.163.181.78:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0#rtsp://221.7.61.147/PLTV/88888910/224/3221225530/10000100000000060000000000107310_0.smil
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
湖南卫视,http://39.164.180.36:19901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://119.32.12.17:2901/udp/224.1.100.98:11111
河南卫视,http://61.156.228.12:8154/tsfile/live/0139_1.m3u8
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://59.39.89.130:60901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8
广东卫视,http://113.15.109.216:59901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1747173608&sign=1c2c9a01c1fd7fb773706949c3ff2811
北京卫视,http://222.169.85.8:9901/tsfile/live/0017_1.m3u8
北京卫视,http://59.39.89.130:60901/tsfile/live/0125_7.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://182.37.169.94:352/tsfile/live/0122_1.m3u8
北京卫视,http://119.32.12.17:2901/udp/224.1.100.100:11111
北京卫视,http://61.156.228.12:8154/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.169.85.8:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://119.32.12.17:2901/udp/224.1.100.68:11111
湖北卫视,http://101.66.198.163:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://39.164.180.36:19901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://203.205.191.53/live.ahsx.ahtv.cn/live/ahwssx.m3u8
安徽卫视,http://112.123.243.37:50085/tsfile/live/0130_1.m3u8
安徽卫视,http://39.164.180.36:19901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://182.37.169.94:352/tsfile/live/0130_1.m3u8
安徽卫视,http://59.39.89.130:60901/tsfile/live/0125_6.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://222.134.245.16:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://220.164.192.48:50085/tsfile/live/0126_1.m3u8
重庆卫视,http://39.164.180.36:19901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://222.169.85.8:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://119.32.12.17:2901/udp/224.1.100.102:11111
重庆卫视,http://61.156.228.12:8154/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
东方卫视,http://39.164.180.36:19901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://119.32.12.17:2901/udp/224.1.100.48:11111
东方卫视,http://113.15.109.216:59901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://182.37.169.94:352/tsfile/live/0137_1.m3u8
东南卫视,http://39.164.180.36:19901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://101.66.198.163:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://39.164.180.36:19901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://119.32.12.17:2901/udp/224.1.100.10:11111
广西卫视,http://39.164.180.36:19901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://222.169.85.8:9901/tsfile/live/0113_1.m3u8
广西卫视,http://222.134.245.16:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://182.37.169.94:352/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://39.164.180.36:19901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://222.169.85.8:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://101.66.198.163:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://39.164.180.36:19901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://182.37.169.94:352/tsfile/live/0117_1.m3u8
河北卫视,http://222.134.245.16:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://39.164.180.36:19901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://61.156.228.12:8154/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4
江苏卫视,http://182.37.169.94:352/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://39.164.180.36:19901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://14.112.83.48:35455/bptv/10000100000000050000000003873461.m3u8
江苏卫视,http://222.169.85.8:9901/tsfile/live/0127_1.m3u8
